R1_START	R1_END	R2_START	R2_END	UTR_IDX
401845	631183	631241	631391	9
395308	631183	631241	631391	9
625196	631183	631241	631391	9
511205	631183	631241	631391	9
444600	631183	631241	631391	9
625196	631183	631241	631391	9
414485	631183	631242	631391	9
429767	631183	631242	631391	9
530081	631183	631242	631391	9
631072	631183	631243	631393	9
354786	631183	631243	631391	9
368269	631183	631243	631391	9
625195	631182	631243	631391	9
368269	631183	631244	631394	9
631072	631183	631244	631394	9
631072	631184	631244	631394	9
453179	631184	631244	631394	9
368269	631183	631244	631394	9
395839	631183	631244	631394	9
518822	631183	631244	631394	9
395308	631183	631244	631394	9
368269	631183	631244	631394	9
498577	631183	631244	631394	9
631072	631183	631244	631394	9
631072	631183	631244	631394	9
625196	631183	631244	631394	9
368269	631183	631245	631395	9
631072	631182	631245	631395	9
625196	631183	631245	631395	9
631072	631183	631245	631395	9
631072	631183	631245	631395	9
631072	631183	631245	631395	9
625196	631183	631245	631395	9
532195	631183	631245	631395	9
631072	631183	631245	631395	9
368269	631183	631245	631395	9
400966	631183	631245	631395	9
616595	631184	631245	631395	9
631072	631183	631245	631395	9
631072	631183	631245	631395	9
368269	631183	631245	631395	9
395308	631183	631245	631395	9
625196	631183	631245	631395	9
475966	631183	631245	631395	9
454366	631183	631245	631395	9
402438	631183	631245	631395	9
631071	631178	631245	631395	9
631071	631183	631246	631396	9
631071	631183	631246	631396	9
631076	631182	631247	631397	9
631072	631183	631247	631397	9
368269	631183	631247	631397	9
429684	631182	631247	631395	9
625196	631183	631247	631397	9
631072	631183	631247	631397	9
631072	631183	631247	631397	9
395308	631183	631247	631397	9
395308	631183	631247	631397	9
480710	631183	631247	631397	9
368269	631183	631248	631398	9
631072	631183	631249	631399	9
368269	631183	631249	631399	9
368269	631183	631249	631399	9
631072	631183	631249	631397	9
631072	631183	631250	631400	9
417089	631184	631250	631400	9
37417	631183	631250	631400	9
478573	631183	631250	631400	9
478558	631183	631250	631400	9
368269	631183	631250	631400	9
631072	631183	631251	631401	9
631068	631183	631251	631401	9
368269	631183	631251	631401	9
479356	631184	631251	631353	9
436671	631183	631251	631401	9
410623	631183	631251	631401	9
368269	631183	631251	631401	9
631072	631183	631251	631401	9
631063	631183	631251	631401	9
631197	631309	631251	631401	9
625196	631183	631252	631402	9
631072	631183	631252	631402	9
631072	631183	631252	631402	9
482566	631183	631252	631402	9
625196	631183	631252	631402	9
631072	631183	631252	631402	9
631072	631183	631252	631402	9
625196	631183	631252	631402	9
395309	631183	631252	631402	9
631072	631182	631252	631402	9
625196	631183	631252	631402	9
368269	631183	631252	631402	9
631072	631183	631252	631402	9
368269	631183	631252	631402	9
452043	631183	631252	631402	9
631072	631183	631252	631402	9
497829	631182	631252	631402	9
631072	631183	631253	631403	9
631072	631183	631253	631403	9
368238	631183	631253	631403	9
631072	631183	631253	631403	9
631206	631317	631253	631403	9
508811	631182	631253	631403	9
368269	631183	631254	631404	9
631072	631183	631255	631395	9
631072	631183	631255	631405	9
368269	631183	631255	631405	9
